name;canton_x;url;firstmention;hab_year;notes;place;zipcode;zusatzziffer;commune;bfsnr;canton_y;X;Y;language
Ursins;VD;/Articles/002653/?language=de;1008.0;[{'year': 1389, 'pop': 35, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0054525051128564, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'next': 1550}, {'year': 1550, 'pop': 84, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0032442567630784, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'previous': 1389, 'next': 1764}, {'year': 1764, 'pop': 168.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9965819729373824, 'previous': 1550, 'next': 1803}, {'year': 1803, 'pop': 147.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0115340203801495, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 252.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9954877274409882, 'previous': 1803, 'next': 1900}, {'year': 1900, 'pop': 201.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.997004230029799, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 173.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9996501980460243, 'previous': 1900, 'next': 2000}, {'year': 2000, 'pop': 170.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];hab+foyer data!, ;Ursins;[1412];2.0;Ursins;5932.0;VD;6.667999999999999;46.735;fr
Blonay;VD;/Articles/002612/?language=de;861.0;[{'year': 1764, 'pop': 1244.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9870993610373362, 'next': 1798}, {'year': 1798, 'pop': 800.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.000754528997614, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 832.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0046267992151146, 'previous': 1798, 'next': 1900}, {'year': 1900, 'pop': 1048.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0050921506147839, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 1351.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.02522598460342, 'previous': 1900, 'next': 2000}, {'year': 2000, 'pop': 4695.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];1764 count includes saint-légier, ;Blonay;[1807];0.0;Blonay;5881.0;VD;6.894;46.466;fr
Bussy-Chardonney;VD;/Articles/002431/?language=de;1059.0;[{'year': 1416, 'pop': 99, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0021494746369224, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'next': 1764}, {'year': 1764, 'pop': 209.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9977278948083785, 'previous': 1416, 'next': 1860}, {'year': 1860, 'pop': 168.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0009101317007856, 'previous': 1764, 'next': 1960}, {'year': 1960, 'pop': 184.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0146919958605751, 'previous': 1860, 'next': 1990}, {'year': 1990, 'pop': 285.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0169006011847628, 'previous': 1960, 'next': 2000}, {'year': 2000, 'pop': 337.0, 'unit': 'Einw', 'type': 'original', 'previous': 1990}];"with or without Chardonnay, 
weird post-1850 units:  (ohne Chardonney)
weird post-1850 units:  (mit Chardonney 184)
weird post-1850 units:  (mit Chardonney 184)
weird post-1850 units:  (mit Chardonney 184)";Bussy-Chardonney;[1136];0.0;Bussy-Chardonney;5625.0;VD;6.443;46.528999999999996;fr
Chavannes-sur-Moudon;VD;/Articles/002465/?language=de;1406.0;[{'year': 1406, 'pop': 114, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0014131443831076, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'next': 1764}, {'year': 1764, 'pop': 189.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.006919922570766, 'previous': 1406, 'next': 1850}, {'year': 1850, 'pop': 342.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9995864814176357, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 335.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0097134838191164, 'previous': 1850, 'next': 1910}, {'year': 1910, 'pop': 369.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9920366353446198, 'previous': 1900, 'next': 1950}, {'year': 1950, 'pop': 268.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9868199565932919, 'previous': 1910, 'next': 1980}, {'year': 1980, 'pop': 180.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0045225398462054, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 197.0, 'unit': 'Einw', 'type': 'original', 'previous': 1980}];unclear date 1406/36?, ;Chavannes-sur-Moudon;[1512];0.0;Chavannes-sur-Moudon;5665.0;VD;6.808;46.657;fr
Corsier-sur-Vevey;VD;/Articles/002615/?language=de;1079.0;[{'year': 1764, 'pop': 689.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.007756371354914, 'next': 1798}, {'year': 1798, 'pop': 896.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.003882171074542, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 1096.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0237690316545034, 'previous': 1798, 'next': 1888}, {'year': 1888, 'pop': 2676.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9350255600889753, 'previous': 1850, 'next': 1900}, {'year': 1900, 'pop': 1195.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.005020243317959, 'previous': 1888, 'next': 1950}, {'year': 1950, 'pop': 1535.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0191796767991204, 'previous': 1900, 'next': 1990}, {'year': 1990, 'pop': 3282.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9974729800180282, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 3200.0, 'unit': 'Einw', 'type': 'original', 'previous': 1990}];"2000 quartier à vevey?, 
weird post-1850 units:  (bis 1892 mit zahlreichen heute zu Vevey gehörigen Quartieren)";Corsier-sur-Vevey;[1804];0.0;Corsier-sur-Vevey;5884.0;VD;6.8420000000000005;46.47;fr
Etoy;VD;/Articles/002441/?language=de;1145.0;[{'year': 1453, 'pop': 49, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0060317227950437, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'next': 1764}, {'year': 1764, 'pop': 318.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0039815077214518, 'previous': 1453, 'next': 1798}, {'year': 1798, 'pop': 364.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.005090865683687, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 474.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0067339249689153, 'previous': 1798, 'next': 1900}, {'year': 1900, 'pop': 663.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0047198177416912, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 839.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0020064676343952, 'previous': 1900, 'next': 1980}, {'year': 1980, 'pop': 891.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.04830680364391, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 2289.0, 'unit': 'Einw', 'type': 'original', 'previous': 1980}];"30 foyer en 1453 with Lavigny; we know there were 20 feuerstätten in lavigny in 1416 -> 10 Haushalte in Etoy in 1453";Etoy;[1163];0.0;Etoy;5636.0;VD;6.421;46.486000000000004;fr
Adligenswil;LU;/Articles/000614/?language=de;1243.0;[{'year': 1695, 'pop': 252.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0052692576570186, 'next': 1798}, {'year': 1798, 'pop': 433.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0065489890353005, 'previous': 1695, 'next': 1850}, {'year': 1850, 'pop': 608.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9968836621450448, 'previous': 1798, 'next': 1888}, {'year': 1888, 'pop': 540.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.005247126639063, 'previous': 1850, 'next': 1900}, {'year': 1900, 'pop': 575.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0042833046506874, 'previous': 1888, 'next': 1950}, {'year': 1950, 'pop': 712.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0397936350770385, 'previous': 1900, 'next': 2000}, {'year': 2000, 'pop': 5010.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];;Adligenswil;[6043];0.0;Adligenswil;1051.0;LU;8.365;47.071000000000005;de
Adliswil;ZH;/Articles/000094/?language=de;1050.0;[{'year': 1401, 'pop': 89, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0054393590679922, 'original_unit': 'Haushaltungen', 'einw_conversion_factor': 4.936063574371257, 'next': 1634}, {'year': 1634, 'pop': 315.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.005432377890073, 'previous': 1401, 'next': 1836}, {'year': 1836, 'pop': 941.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.02549695295515, 'previous': 1634, 'next': 1900}, {'year': 1900, 'pop': 4714.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0019453934150655, 'previous': 1836, 'next': 1941}, {'year': 1941, 'pop': 5105.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0225572900475959, 'previous': 1900, 'next': 1950}, {'year': 1950, 'pop': 6240.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0187826395526165, 'previous': 1941, 'next': 2000}, {'year': 2000, 'pop': 15822.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];Daten ohne oder mit Oberleimbach und Sood?;Adliswil;[8134];0.0;Adliswil;131.0;ZH;8.522;47.313;de
Aedermannsdorf;SO;/Articles/001065/?language=de;1308.0;[{'year': 1739, 'pop': 248.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0069417742642632, 'next': 1798}, {'year': 1798, 'pop': 373.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0051020135600504, 'previous': 1739, 'next': 1850}, {'year': 1850, 'pop': 486.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9995842710458579, 'previous': 1798, 'next': 1900}, {'year': 1900, 'pop': 476.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0026003379734074, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 542.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0000368670494588, 'previous': 1900, 'next': 2000}, {'year': 2000, 'pop': 543.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];;Aedermannsdorf;[4714];0.0;Aedermannsdorf;2421.0;SO;7.608;47.303999999999995;de
Aefligen;BE;/Articles/000238/?language=de;1261.0;[{'year': 1764, 'pop': 191.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.010846109091635, 'next': 1850}, {'year': 1850, 'pop': 483.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0002878161601674, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 490.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0082517098175405, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 739.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0063472643108715, 'previous': 1900, 'next': 2000}, {'year': 2000, 'pop': 1014.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];;Aefligen;[3426];0.0;Aefligen;401.0;BE;7.5520000000000005;47.096000000000004;de
Aegerten;BE;/Articles/000434/?language=de;1225.0;[{'year': 1764, 'pop': 164.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.008718863599089, 'next': 1850}, {'year': 1850, 'pop': 346.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0102805553243686, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 577.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.004326088630085, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 716.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0348986356376964, 'previous': 1900, 'next': 1960}, {'year': 1960, 'pop': 1009.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.012569932218289, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 1663.0, 'unit': 'Einw', 'type': 'original', 'previous': 1960}];;Aegerten;[2558];0.0;Aegerten;731.0;BE;7.292000000000001;47.121;de
