;name;canton_x;url;firstmention;hab_year;notes;place;zipcode;zusatzziffer;commune;bfsnr;canton_y;east;north;language
10;Lausanne;VD;/Articles/002408/?language=de;280;[{'year': '1219', 'pop': '8500', 'unit': 'Einw'}, {'year': '1650', 'pop': '5100', 'unit': 'Einw'}, {'year': '1698', 'pop': '6204', 'unit': 'Einw'}, {'year': '1764', 'pop': '7191', 'unit': 'Einw'}, {'year': '1798', 'pop': '9000', 'unit': 'Einw'}, {'year': '1813', 'pop': '13000', 'unit': 'Einw'}, {'year': '1850', 'pop': '17108', 'unit': 'Einw'}, {'year': '1870', 'pop': '25845', 'unit': 'Einw'}, {'year': '1888', 'pop': '33340', 'unit': 'Einw'}, {'year': '1900', 'pop': '46732', 'unit': 'Einw'}];"hab+foyer data!, data in html tabelle
weird post-1850 units: % der Bevölkerung
weird post-1850 units: % und kletterte bis 2000 auf 17%
weird post-1850 units: %, wobei sich die Herkunftsländer änderten";Lausanne;1018.0;0.0;Lausanne;5586.0;VD;6.629;46.538999999999994;fr
11;Lutry;VD;/Articles/002420/?language=de;908;[{'year': '1850', 'pop': '2011', 'unit': 'Einw'}, {'year': '1900', 'pop': '2243', 'unit': 'Einw'}, {'year': '1950', 'pop': '2916', 'unit': 'Einw'}, {'year': '1980', 'pop': '5884', 'unit': 'Einw'}, {'year': '2000', 'pop': '8270', 'unit': 'Einw'}, {'year': '1416', 'pop': '200', 'unit': 'Haushalte'}, {'year': '1550', 'pop': '191', 'unit': 'Haushalte'}, {'year': '1764', 'pop': '409', 'unit': 'Haushalte'}, {'year': '1798', 'pop': '2433', 'unit': 'Einw'}, {'year': '1550', 'pop': '902', 'unit': 'Einw'}, {'year': '1764', 'pop': '1780', 'unit': 'Einw'}];hab+foyer data!, with or without Savigny, ;Lutry;1095.0;0.0;Lutry;5606.0;VD;6.686;46.503;fr
12;Ballaigues;VD;/Articles/002528/?language=de;1228;[{'year': '1416', 'pop': '10', 'unit': 'Haushalte'}, {'year': '1453', 'pop': '8', 'unit': 'Haushalte'}, {'year': '1570', 'pop': '20', 'unit': 'Haushalte'}, {'year': '1684', 'pop': '45', 'unit': 'Haushalte'}, {'year': '1764', 'pop': '253', 'unit': 'Einw'}, {'year': '1850', 'pop': '530', 'unit': 'Einw'}, {'year': '1900', 'pop': '717', 'unit': 'Einw'}, {'year': '1950', 'pop': '929', 'unit': 'Einw'}, {'year': '2000', 'pop': '871', 'unit': 'Einw'}, {'year': '1764', 'pop': '80', 'unit': 'Haushalte'}];hab+foyer data!, ;Ballaigues;1338.0;0.0;Ballaigues;5744.0;VD;6.415;46.729;fr
13;Belmont-sur-Yverdon;VD;/Articles/002623/?language=de;1154;[{'year': '1409', 'pop': '31', 'unit': 'Haushalte'}, {'year': '1550', 'pop': '25', 'unit': 'Haushalte'}, {'year': '1764', 'pop': '249', 'unit': 'Einw'}, {'year': '1850', 'pop': '387', 'unit': 'Einw'}, {'year': '1900', 'pop': '373', 'unit': 'Einw'}, {'year': '1910', 'pop': '395', 'unit': 'Einw'}, {'year': '1950', 'pop': '289', 'unit': 'Einw'}, {'year': '2000', 'pop': '247', 'unit': 'Einw'}, {'year': '1764', 'pop': '52', 'unit': 'Haushalte'}];hab+foyer data!, ;Belmont-sur-Yverdon;1432.0;0.0;Belmont-sur-Yverdon;5902.0;VD;6.624;46.746;fr
14;Borex;VD;/Articles/002498/?language=de;1135;[{'year': '1429', 'pop': '14', 'unit': 'Feuerstätten'}, {'year': '1764', 'pop': '107', 'unit': 'Einw'}, {'year': '1850', 'pop': '121', 'unit': 'Einw'}, {'year': '1900', 'pop': '168', 'unit': 'Einw'}, {'year': '1950', 'pop': '182', 'unit': 'Einw'}, {'year': '1960', 'pop': '201', 'unit': 'Einw'}, {'year': '2000', 'pop': '865', 'unit': 'Einw'}, {'year': '1764', 'pop': '25', 'unit': 'Feuerstätten'}];hab+foyer data!, ;Borex;1277.0;0.0;Borex;5706.0;VD;6.178;46.379;fr
15;Ependes (VD);VD;/Articles/002635/?language=de;1154;[{'year': '1404', 'pop': '17', 'unit': 'Haushalte'}, {'year': '1550', 'pop': '16', 'unit': 'Haushalte'}, {'year': '1764', 'pop': '252', 'unit': 'Einw'}, {'year': '1798', 'pop': '265', 'unit': 'Einw'}, {'year': '1850', 'pop': '320', 'unit': 'Einw'}, {'year': '1900', 'pop': '249', 'unit': 'Einw'}, {'year': '1950', 'pop': '293', 'unit': 'Einw'}, {'year': '1980', 'pop': '205', 'unit': 'Einw'}, {'year': '2000', 'pop': '320', 'unit': 'Einw'}, {'year': '1764', 'pop': '47', 'unit': 'Haushalte'}];hab+foyer data!, ;Ependes (VD);;;;;;;;
16;Lignerolle;VD;/Articles/002538/?language=de;1160;[{'year': '1416', 'pop': '60', 'unit': 'Feuerstätten'}, {'year': '1453', 'pop': '40', 'unit': 'Feuerstätten'}, {'year': '1764', 'pop': '218', 'unit': 'Einw'}, {'year': '1850', 'pop': '306', 'unit': 'Einw'}, {'year': '1900', 'pop': '308', 'unit': 'Einw'}, {'year': '1950', 'pop': '244', 'unit': 'Einw'}, {'year': '1960', 'pop': '365', 'unit': 'Einw'}, {'year': '1980', 'pop': '262', 'unit': 'Einw'}, {'year': '2000', 'pop': '334', 'unit': 'Einw'}, {'year': '1764', 'pop': '54', 'unit': 'Feuerstätten'}];hab+foyer data!, ;Lignerolle;1357.0;0.0;Lignerolle;5755.0;VD;6.456;46.74;fr
17;Premier;VD;/Articles/002542/?language=de;1316;[{'year': '1396', 'pop': '15', 'unit': 'Feuerstätten'}, {'year': '1529', 'pop': '10', 'unit': 'Feuerstätten'}, {'year': '1550', 'pop': '21', 'unit': 'Feuerstätten'}, {'year': '1764', 'pop': '205', 'unit': 'Einw'}, {'year': '1803', 'pop': '232', 'unit': 'Einw'}, {'year': '1850', 'pop': '292', 'unit': 'Einw'}, {'year': '1900', 'pop': '178', 'unit': 'Einw'}, {'year': '1950', 'pop': '144', 'unit': 'Einw'}, {'year': '1970', 'pop': '138', 'unit': 'Einw'}, {'year': '2000', 'pop': '208', 'unit': 'Einw'}, {'year': '1764', 'pop': '52', 'unit': 'Feuerstätten'}];hab+foyer data!, ;Premier;1324.0;0.0;Premier;5759.0;VD;6.445;46.70399999999999;fr
18;Pully;VD;/Articles/002412/?language=de;994;[{'year': '1764', 'pop': '626', 'unit': 'Einw'}, {'year': '1798', 'pop': '818', 'unit': 'Einw'}, {'year': '1850', 'pop': '1113', 'unit': 'Einw'}, {'year': '1900', 'pop': '2339', 'unit': 'Einw'}, {'year': '1950', 'pop': '6989', 'unit': 'Einw'}, {'year': '1960', 'pop': '12505', 'unit': 'Einw'}, {'year': '2000', 'pop': '16034', 'unit': 'Einw'}, {'year': '1764', 'pop': '141', 'unit': 'Feuerstätten'}];hab+foyer data!, ;Pully;1009.0;0.0;Pully;5590.0;VD;6.662000000000001;46.50899999999999;fr
19;Suchy;VD;/Articles/002650/?language=de;885;[{'year': '1409', 'pop': '24', 'unit': 'Feuerstätten'}, {'year': '1550', 'pop': '34', 'unit': 'Feuerstätten'}, {'year': '1764', 'pop': '251', 'unit': 'Einw'}, {'year': '1850', 'pop': '390', 'unit': 'Einw'}, {'year': '1900', 'pop': '354', 'unit': 'Einw'}, {'year': '1950', 'pop': '325', 'unit': 'Einw'}, {'year': '2000', 'pop': '345', 'unit': 'Einw'}, {'year': '1764', 'pop': '62', 'unit': 'Feuerstätten'}];hab+foyer data!, ;Suchy;1433.0;0.0;Suchy;5929.0;VD;6.599;46.722;fr
20;Ursins;VD;/Articles/002653/?language=de;1008;[{'year': '1389', 'pop': '7', 'unit': 'Feuerstätten'}, {'year': '1550', 'pop': '17', 'unit': 'Feuerstätten'}, {'year': '1764', 'pop': '168', 'unit': 'Einw'}, {'year': '1803', 'pop': '147', 'unit': 'Einw'}, {'year': '1850', 'pop': '252', 'unit': 'Einw'}, {'year': '1900', 'pop': '201', 'unit': 'Einw'}, {'year': '1950', 'pop': '173', 'unit': 'Einw'}, {'year': '2000', 'pop': '170', 'unit': 'Einw'}, {'year': '1764', 'pop': '25', 'unit': 'Feuerstätten'}];hab+foyer data!, ;Ursins;1412.0;2.0;Ursins;5932.0;VD;6.667999999999999;46.735;fr
21;Blonay;VD;/Articles/002612/?language=de;861;[{'year': '1764', 'pop': '1244', 'unit': 'Einw'}, {'year': '1798', 'pop': '800', 'unit': 'Einw'}, {'year': '1850', 'pop': '832', 'unit': 'Einw'}, {'year': '1900', 'pop': '1048', 'unit': 'Einw'}, {'year': '1950', 'pop': '1351', 'unit': 'Einw'}, {'year': '2000', 'pop': '4695', 'unit': 'Einw'}];1764 count includes saint-légier, ;Blonay;1807.0;0.0;Blonay;5881.0;VD;6.894;46.466;fr
22;Bussy-Chardonney;VD;/Articles/002431/?language=de;1059;[{'year': '1416', 'pop': '20', 'unit': 'Haushalte'}, {'year': '1764', 'pop': '209', 'unit': 'Einw'}, {'year': '1860', 'pop': '168', 'unit': 'Einw'}, {'year': '1960', 'pop': '184', 'unit': 'Einw'}, {'year': '1990', 'pop': '285', 'unit': 'Einw'}, {'year': '2000', 'pop': '337', 'unit': 'Einw'}];"with or without Chardonnay, 
weird post-1850 units:  (ohne Chardonney)
weird post-1850 units:  (mit Chardonney 184)
weird post-1850 units:  (mit Chardonney 184)
weird post-1850 units:  (mit Chardonney 184)";Bussy-Chardonney;1136.0;0.0;Bussy-Chardonney;5625.0;VD;6.443;46.528999999999996;fr
23;Chavannes-sur-Moudon;VD;/Articles/002465/?language=de;1406;[{'year': '1764', 'pop': '189', 'unit': 'Einw'}, {'year': '1850', 'pop': '342', 'unit': 'Einw'}, {'year': '1900', 'pop': '335', 'unit': 'Einw'}, {'year': '1910', 'pop': '369', 'unit': 'Einw'}, {'year': '1950', 'pop': '268', 'unit': 'Einw'}, {'year': '1980', 'pop': '180', 'unit': 'Einw'}, {'year': '2000', 'pop': '197', 'unit': 'Einw'}, {'year': '1406', 'pop': '23', 'unit': 'Feuerstätten'}];unclear date 1406/36?, ;Chavannes-sur-Moudon;1512.0;0.0;Chavannes-sur-Moudon;5665.0;VD;6.808;46.657;fr
24;Corsier-sur-Vevey;VD;/Articles/002615/?language=de;1079;[{'year': '1764', 'pop': '689', 'unit': 'Einw'}, {'year': '1798', 'pop': '896', 'unit': 'Einw'}, {'year': '1850', 'pop': '1096', 'unit': 'Einw'}, {'year': '1888', 'pop': '2676', 'unit': 'Einw'}, {'year': '1900', 'pop': '1195', 'unit': 'Einw'}, {'year': '1950', 'pop': '1535', 'unit': 'Einw'}, {'year': '1990', 'pop': '3282', 'unit': 'Einw'}, {'year': '2000', 'pop': '3200', 'unit': 'Einw'}];"2000 quartier à vevey?, 
weird post-1850 units:  (bis 1892 mit zahlreichen heute zu Vevey gehörigen Quartieren)";Corsier-sur-Vevey;1804.0;0.0;Corsier-sur-Vevey;5884.0;VD;6.8420000000000005;46.47;fr
25;Etoy;VD;/Articles/002441/?language=de;1145;[{'year': '1764', 'pop': '318', 'unit': 'Einw'}, {'year': '1798', 'pop': '364', 'unit': 'Einw'}, {'year': '1850', 'pop': '474', 'unit': 'Einw'}, {'year': '1900', 'pop': '663', 'unit': 'Einw'}, {'year': '1950', 'pop': '839', 'unit': 'Einw'}, {'year': '1980', 'pop': '891', 'unit': 'Einw'}, {'year': '2000', 'pop': '2289', 'unit': 'Einw'}, {'year': '1453', 'pop': '10', 'unit': 'Haushalte'}];"30 foyer en 1453 with Lavigny; we know there were 20 feuerstätten in lavigny in 1416 -> 10 Haushalte in Etoy in 1453";Etoy;1163.0;0.0;Etoy;5636.0;VD;6.421;46.486000000000004;fr
26;Adligenswil;LU;/Articles/000614/?language=de;1243;[{'year': '1695', 'pop': '252', 'unit': 'Einw'}, {'year': '1798', 'pop': '433', 'unit': 'Einw'}, {'year': '1850', 'pop': '608', 'unit': 'Einw'}, {'year': '1888', 'pop': '540', 'unit': 'Einw'}, {'year': '1900', 'pop': '575', 'unit': 'Einw'}, {'year': '1950', 'pop': '712', 'unit': 'Einw'}, {'year': '2000', 'pop': '5010', 'unit': 'Einw'}];;Adligenswil;6043.0;0.0;Adligenswil;1051.0;LU;8.365;47.071000000000005;de
27;Adliswil;ZH;/Articles/000094/?language=de;1050;[{'year': '1634', 'pop': '315', 'unit': 'Einw'}, {'year': '1836', 'pop': '941', 'unit': 'Einw'}, {'year': '1900', 'pop': '4714', 'unit': 'Einw'}, {'year': '1941', 'pop': '5105', 'unit': 'Einw'}, {'year': '1950', 'pop': '6240', 'unit': 'Einw'}, {'year': '2000', 'pop': '15822', 'unit': 'Einw'}, {'year': '1401', 'pop': '18', 'unit': 'Haushaltungen'}];Daten ohne oder mit Oberleimbach und Sood?;Adliswil;8134.0;0.0;Adliswil;131.0;ZH;8.522;47.313;de
28;Aedermannsdorf;SO;/Articles/001065/?language=de;1308;[{'year': '1739', 'pop': '248', 'unit': 'Einw'}, {'year': '1798', 'pop': '373', 'unit': 'Einw'}, {'year': '1850', 'pop': '486', 'unit': 'Einw'}, {'year': '1900', 'pop': '476', 'unit': 'Einw'}, {'year': '1950', 'pop': '542', 'unit': 'Einw'}, {'year': '2000', 'pop': '543', 'unit': 'Einw'}];;Aedermannsdorf;4714.0;0.0;Aedermannsdorf;2421.0;SO;7.608;47.303999999999995;de
29;Aefligen;BE;/Articles/000238/?language=de;1261;[{'year': '1764', 'pop': '191', 'unit': 'Einw'}, {'year': '1850', 'pop': '483', 'unit': 'Einw'}, {'year': '1900', 'pop': '490', 'unit': 'Einw'}, {'year': '1950', 'pop': '739', 'unit': 'Einw'}, {'year': '2000', 'pop': '1014', 'unit': 'Einw'}];;Aefligen;3426.0;0.0;Aefligen;401.0;BE;7.5520000000000005;47.096000000000004;de
30;Aegerten;BE;/Articles/000434/?language=de;1225;[{'year': '1764', 'pop': '164', 'unit': 'Einw'}, {'year': '1850', 'pop': '346', 'unit': 'Einw'}, {'year': '1900', 'pop': '577', 'unit': 'Einw'}, {'year': '1950', 'pop': '716', 'unit': 'Einw'}, {'year': '1960', 'pop': '1009', 'unit': 'Einw'}, {'year': '2000', 'pop': '1663', 'unit': 'Einw'}];;Aegerten;2558.0;0.0;Aegerten;731.0;BE;7.292000000000001;47.121;de
31;Aesch (BL);BL;/Articles/001189/?language=de;1252;[{'year': '1586', 'pop': '48', 'unit': 'Häuser'}, {'year': '1771', 'pop': '655', 'unit': 'Einw'}, {'year': '1815', 'pop': '787', 'unit': 'Einw'}, {'year': '1850', 'pop': '998', 'unit': 'Einw'}, {'year': '1900', 'pop': '1867', 'unit': 'Einw'}, {'year': '1950', 'pop': '3149', 'unit': 'Einw'}, {'year': '2000', 'pop': '9735', 'unit': 'Einw'}];;Aesch (BL);;;;;;;;
32;Aesch (LU);LU;/Articles/000592/?language=de;1150;[{'year': '1678', 'pop': '176', 'unit': 'Einw'}, {'year': '1798', 'pop': '584', 'unit': 'Einw'}, {'year': '1837', 'pop': '876', 'unit': 'Einw'}, {'year': '1888', 'pop': '627', 'unit': 'Einw'}, {'year': '1900', 'pop': '639', 'unit': 'Einw'}, {'year': '1950', 'pop': '642', 'unit': 'Einw'}, {'year': '1960', 'pop': '563', 'unit': 'Einw'}, {'year': '2000', 'pop': '950', 'unit': 'Einw'}, {'year': '1701', 'pop': '380', 'unit': 'Kirchgenossen'}];Daten von Pfarrei, daten nur oder nicht nur für oberaesch;Aesch (LU);;;;;;;;
33;Aeschi bei Spiez;BE;/Articles/000320/?language=de;1228;[{'year': '1764', 'pop': '804', 'unit': 'Einw'}, {'year': '1850', 'pop': '1251', 'unit': 'Einw'}, {'year': '1900', 'pop': '1409', 'unit': 'Einw'}, {'year': '1950', 'pop': '1364', 'unit': 'Einw'}, {'year': '2000', 'pop': '2025', 'unit': 'Einw'}];;Aeschi bei Spiez;;;;;;;;
34;Aeschi (SO);SO;/Articles/001119/?language=de;1247;[{'year': '1684', 'pop': '168', 'unit': 'Einw'}, {'year': '1798', 'pop': '255', 'unit': 'Einw'}, {'year': '1850', 'pop': '430', 'unit': 'Einw'}, {'year': '1900', 'pop': '346', 'unit': 'Einw'}, {'year': '1950', 'pop': '486', 'unit': 'Einw'}, {'year': '1990', 'pop': '862', 'unit': 'Einw'}, {'year': '2000', 'pop': '1015', 'unit': 'Einw'}];;Aeschi (SO);;;;;;;;
35;Aeugst am Albis;ZH;/Articles/000001/?language=de;876;[{'year': '1695', 'pop': '408', 'unit': 'Einw'}, {'year': '1800', 'pop': '573', 'unit': 'Einw'}, {'year': '1900', 'pop': '607', 'unit': 'Einw'}, {'year': '1950', 'pop': '650', 'unit': 'Einw'}, {'year': '2000', 'pop': '1544', 'unit': 'Einw'}, {'year': '1454', 'pop': '50', 'unit': 'Einw'}, {'year': '1850', 'pop': '647', 'unit': 'Einw'}];;Aeugst am Albis;8914.0;0.0;Aeugst am Albis;1.0;ZH;8.488;47.266999999999996;de
36;Affoltern am Albis;ZH;/Articles/000002/?language=de;1190;[{'year': '1736', 'pop': '1060', 'unit': 'Einw'}, {'year': '1850', 'pop': '1855', 'unit': 'Einw'}, {'year': '1900', 'pop': '2779', 'unit': 'Einw'}, {'year': '1950', 'pop': '3484', 'unit': 'Einw'}, {'year': '2000', 'pop': '10314', 'unit': 'Einw'}];"""Bis ins 17. Jh. 100-250 Einw.;"" -> what to do with that?
weird post-1850 units: undefined
weird post-1850 units: undefined
weird post-1850 units: undefined
weird post-1850 units: undefined";Affoltern am Albis;8910.0;0.0;Affoltern am Albis;2.0;ZH;8.449;47.278999999999996;de
37;Affoltern im Emmental;BE;/Articles/000547/?language=de;1261;[{'year': '1764', 'pop': '758', 'unit': 'Einw'}, {'year': '1850', 'pop': '1140', 'unit': 'Einw'}, {'year': '1900', 'pop': '1142', 'unit': 'Einw'}, {'year': '1950', 'pop': '1237', 'unit': 'Einw'}, {'year': '2000', 'pop': '1212', 'unit': 'Einw'}];"undefined
weird post-1850 units:  1'237
weird post-1850 units:  1'237";Affoltern im Emmental;3416.0;0.0;Affoltern im Emmental;951.0;BE;7.733;47.067;de
38;Agarn;VS;/Articles/002711/?language=de;1252;[{'year': '1850', 'pop': '186', 'unit': 'Einw'}, {'year': '1900', 'pop': '279', 'unit': 'Einw'}, {'year': '1950', 'pop': '479', 'unit': 'Einw'}, {'year': '2000', 'pop': '758', 'unit': 'Einw'}, {'year': '1703', 'pop': '100', 'unit': 'Einw'}];;Agarn;3951.0;0.0;Agarn;6101.0;VS;7.662999999999999;46.297;de
